alpha,stacks,adv,seed,sym_recall,sym_fpr,sym_precision,sym_f1,sym_n_ja4,rf_auc,rf_recall_fpr0,rf_recall_fpr1
1.5,100,0,1,0.828,0.0,1.0,0.9059080962800875,84,0.9456944444444444,0.06333333333333334,0.3933333333333333
1.5,100,0,2,0.853,0.0,1.0,0.9206691851052348,87,0.9627444444444444,0.023333333333333334,0.38
1.5,100,0,3,0.817,0.0,1.0,0.899284534947716,84,0.9755,0.13,0.5533333333333333
1.5,100,0,4,0.858,0.0,1.0,0.9235737351991388,85,0.9645,0.25333333333333335,0.31333333333333335
1.5,100,0,5,0.838,0.0,1.0,0.9118607181719259,87,0.953388888888889,0.35,0.47
1.5,100,0,6,0.853,0.0,1.0,0.9206691851052348,90,0.9557833333333334,0.27666666666666667,0.37666666666666665
1.5,100,0,7,0.877,0.0,1.0,0.9344698987746404,91,0.9733055555555555,0.023333333333333334,0.5533333333333333
1.5,100,0,8,0.833,0.0,1.0,0.9088925259138025,87,0.9517055555555556,0.056666666666666664,0.4066666666666667
1.5,100,0,9,0.872,0.0,1.0,0.9316239316239316,90,0.9812333333333333,0.53,0.8366666666666667
1.5,100,0,10,0.86,0.0,1.0,0.924731182795699,88,0.9605888888888888,0.056666666666666664,0.3333333333333333
1.5,100,0,11,0.874,0.0,1.0,0.9327641408751334,93,0.9762611111111111,0.22666666666666666,0.5066666666666667
1.5,100,0,12,0.843,0.0,1.0,0.9148128052088985,86,0.9665722222222222,0.12333333333333334,0.39666666666666667
1.5,100,0,13,0.851,0.0,1.0,0.9195029713668287,87,0.943238888888889,0.016666666666666666,0.3566666666666667
1.5,100,0,14,0.851,0.0,1.0,0.9195029713668287,87,0.9475166666666667,0.26,0.3933333333333333
1.5,100,0,15,0.849,0.0,1.0,0.918334234721471,88,0.9504166666666667,0.25333333333333335,0.4066666666666667
2.0,25,0,1,0.894,0.0,1.0,0.9440337909186906,25,0.9857333333333332,0.11,0.63
2.0,25,0,2,0.908,0.0,1.0,0.9517819706498952,25,0.9929666666666667,0.6833333333333333,0.8266666666666667
2.0,25,0,3,0.89,0.0,1.0,0.9417989417989417,25,0.9949500000000001,0.5333333333333333,0.86
2.0,25,0,4,0.916,0.0,1.0,0.9561586638830899,25,0.9925444444444445,0.6833333333333333,0.8366666666666667
2.0,25,0,5,0.895,0.0,1.0,0.9445910290237467,25,0.9911833333333333,0.6933333333333334,0.7866666666666666
2.0,25,0,6,0.893,0.0,1.0,0.9434759640781828,25,0.9874444444444445,0.33,0.7233333333333334
2.0,25,0,7,0.919,0.0,1.0,0.9577905158936947,25,0.9946611111111111,0.72,0.85
